time,seconds_elapsed,z,y,x
1701645537133620700,0.017620849609375,-0.830963134765625,-0.5758514404296875,0.0142974853515625
1701645537143700700,0.02770068359375,-0.82489013671875,-0.5748443603515625,0.01318359375
1701645537153780700,0.03778076171875,-0.8284149169921875,-0.5745697021484375,0.01434326171875
1701645537163860700,0.04786083984375,-0.836669921875,-0.576873779296875,0.0151824951171875
1701645537173940700,0.057940673828125,-0.84429931640625,-0.57666015625,0.018951416015625
1701645537184020700,0.068020751953125,-0.852630615234375,-0.5731048583984375,0.0222320556640625
1701645537194100700,0.078100830078125,-0.8574066162109375,-0.5680694580078125,0.021392822265625
1701645537204180700,0.0881806640625,-0.85626220703125,-0.568206787109375,0.016815185546875
1701645537214259700,0.098259765625,-0.849578857421875,-0.57025146484375,0.011810302734375
1701645537224339700,0.108339599609375,-0.8443145751953125,-0.574554443359375,0.008056640625
1701645537234419700,0.118419677734375,-0.839569091796875,-0.5758056640625,0.006683349609375
1701645537244499700,0.128499755859375,-0.83148193359375,-0.5733489990234375,0.00860595703125
1701645537254579700,0.138579833984375,-0.8253173828125,-0.5717010498046875,0.0088348388671875
1701645537264659700,0.14865966796875,-0.8273162841796875,-0.57745361328125,0.007965087890625
1701645537274739700,0.15873974609375,-0.83111572265625,-0.58685302734375,0.007171630859375
1701645537284820000,0.168820068359375,-0.829803466796875,-0.5903778076171875,0.01348876953125
1701645537294899700,0.178899658203125,-0.825408935546875,-0.584869384765625,0.0209197998046875
1701645537304979700,0.188979736328125,-0.8207550048828125,-0.57794189453125,0.0254669189453125
1701645537315059700,0.199059814453125,-0.81640625,-0.5792236328125,0.0249786376953125
1701645537325139200,0.20913916015625,-0.8083343505859375,-0.5823974609375,0.0210723876953125
1701645537335219500,0.219219482421875,-0.79840087890625,-0.580963134765625,0.0151519775390625
1701645537345299500,0.229299560546875,-0.789947509765625,-0.575347900390625,0.008453369140625
1701645537355379500,0.23937939453125,-0.7808990478515625,-0.573150634765625,-0.000518798828125
1701645537365459500,0.24945947265625,-0.77960205078125,-0.574188232421875,-0.0104522705078125
1701645537375539200,0.259539306640625,-0.7849884033203125,-0.57574462890625,-0.016937255859375
1701645537385619500,0.269619384765625,-0.78973388671875,-0.5750732421875,-0.0193634033203125
1701645537395698400,0.279698486328125,-0.794708251953125,-0.5702972412109375,-0.017242431640625
1701645537405778400,0.2897783203125,-0.7996368408203125,-0.5660552978515625,-0.0139617919921875
1701645537415858200,0.299858154296875,-0.8007354736328125,-0.5680694580078125,-0.0140380859375
1701645537425938400,0.3099384765625,-0.79278564453125,-0.574371337890625,-0.012786865234375
1701645537436018400,0.320018310546875,-0.7849578857421875,-0.57977294921875,-0.00897216796875
